entry,at,order
"""Steve @ YzCZkAUETt"" posts a big blind of 0.10",2021-02-19T00:21:32.915Z,161369409291606
"""Noah @ jLblaRls_D"" posts a small blind of 0.05",2021-02-19T00:21:32.915Z,161369409291605
"Your hand is K♠, A♦",2021-02-19T00:21:32.915Z,161369409291603
"Player stacks: #6 ""Steve @ YzCZkAUETt"" (21.86) | #8 ""Blake @ UmDnqTo27H"" (35.87) | #10 ""Noah @ jLblaRls_D"" (9.27)",2021-02-19T00:21:32.915Z,161369409291601
"-- starting hand #132  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-02-19T00:21:32.915Z,161369409291600
"""Steve @ YzCZkAUETt"" shows a 8♥, J♦.",2021-02-19T00:21:27.460Z,161369408746100
"-- ending hand #131 --",2021-02-19T00:21:26.372Z,161369408637403
"""Blake @ UmDnqTo27H"" shows a A♥, 3♦.",2021-02-19T00:21:26.372Z,161369408637402
"""Noah @ jLblaRls_D"" collected 2.80 from pot with Two Pair, A's & 7's (combination: A♦, A♠, 7♦, 7♠, 8♠)",2021-02-19T00:21:26.372Z,161369408637401
"""Noah @ jLblaRls_D"" shows a 8♠, A♦.",2021-02-19T00:21:26.372Z,161369408637400
"""Noah @ jLblaRls_D"" checks",2021-02-19T00:21:25.566Z,161369408556700
"""Blake @ UmDnqTo27H"" checks",2021-02-19T00:21:24.723Z,161369408472300
"River: 7♦, A♠, 7♠, 4♣ [6♠]",2021-02-19T00:21:24.395Z,161369408440100
"""Noah @ jLblaRls_D"" checks",2021-02-19T00:21:23.555Z,161369408355600
"""Blake @ UmDnqTo27H"" checks",2021-02-19T00:21:22.075Z,161369408207600
"Turn: 7♦, A♠, 7♠ [4♣]",2021-02-19T00:21:20.793Z,161369408079400
"""Noah @ jLblaRls_D"" calls 0.95",2021-02-19T00:21:19.983Z,161369407998400
"""Blake @ UmDnqTo27H"" bets 0.95",2021-02-19T00:21:18.589Z,161369407859000
"Flop:  [7♦, A♠, 7♠]",2021-02-19T00:21:15.367Z,161369407536800
"""Noah @ jLblaRls_D"" calls 0.45",2021-02-19T00:21:14.553Z,161369407455400
"""Blake @ UmDnqTo27H"" raises to 0.45",2021-02-19T00:21:12.064Z,161369407206500
"""Steve @ YzCZkAUETt"" folds",2021-02-19T00:21:09.280Z,161369406928100
"""Noah @ jLblaRls_D"" posts a big blind of 0.10",2021-02-19T00:20:56.753Z,161369405675406
"""Blake @ UmDnqTo27H"" posts a small blind of 0.05",2021-02-19T00:20:56.753Z,161369405675405
"Your hand is A♥, 3♦",2021-02-19T00:20:56.753Z,161369405675403
"Player stacks: #6 ""Steve @ YzCZkAUETt"" (21.86) | #8 ""Blake @ UmDnqTo27H"" (37.27) | #10 ""Noah @ jLblaRls_D"" (7.87)",2021-02-19T00:20:56.753Z,161369405675401
"-- starting hand #131  (No Limit Texas Hold'em) (dealer: ""Steve @ YzCZkAUETt"") --",2021-02-19T00:20:56.753Z,161369405675400
"""Noah @ jLblaRls_D"" shows a J♦, 3♠.",2021-02-19T00:20:50.662Z,161369405066300
"""Steve @ YzCZkAUETt"" shows a K♦, 2♦.",2021-02-19T00:20:29.897Z,161369402989800
"Undealt cards:  [Q♥, 9♦, 6♥, 3♥, A♦]",2021-02-19T00:20:28.762Z,161369402876300
"""Blake @ UmDnqTo27H"" shows a 7♦, 8♥.",2021-02-19T00:20:27.929Z,161369402792900
"-- ending hand #130 --",2021-02-19T00:20:26.543Z,161369402654502
"""Blake @ UmDnqTo27H"" collected 0.30 from pot",2021-02-19T00:20:26.543Z,161369402654501
"Uncalled bet of 0.85 returned to ""Blake @ UmDnqTo27H""",2021-02-19T00:20:26.543Z,161369402654500
"""Steve @ YzCZkAUETt"" folds",2021-02-19T00:20:25.714Z,161369402571500
"""Noah @ jLblaRls_D"" folds",2021-02-19T00:20:24.873Z,161369402487400
"""Blake @ UmDnqTo27H"" raises to 0.95",2021-02-19T00:20:22.414Z,161369402241600
"""Steve @ YzCZkAUETt"" calls 0.10",2021-02-19T00:20:19.197Z,161369401919800
"""Noah @ jLblaRls_D"" calls 0.10",2021-02-19T00:20:17.679Z,161369401768000
"""Blake @ UmDnqTo27H"" posts a big blind of 0.10",2021-02-19T00:20:09.154Z,161369400915506
"""Steve @ YzCZkAUETt"" posts a small blind of 0.05",2021-02-19T00:20:09.154Z,161369400915505
"Your hand is 7♦, 8♥",2021-02-19T00:20:09.154Z,161369400915503
"Player stacks: #6 ""Steve @ YzCZkAUETt"" (21.96) | #8 ""Blake @ UmDnqTo27H"" (37.07) | #10 ""Noah @ jLblaRls_D"" (7.97)",2021-02-19T00:20:09.154Z,161369400915501
"-- starting hand #130  (No Limit Texas Hold'em) (dealer: ""Noah @ jLblaRls_D"") --",2021-02-19T00:20:09.154Z,161369400915500
"""Steve @ YzCZkAUETt"" shows a 4♣, 8♣.",2021-02-19T00:20:03.542Z,161369400354300
"""Blake @ UmDnqTo27H"" shows a 9♣, 8♥.",2021-02-19T00:20:03.014Z,161369400301500
"Undealt cards: 10♣, A♣, 6♣ [6♥, 7♥]",2021-02-19T00:20:02.278Z,161369400228000
"-- ending hand #129 --",2021-02-19T00:20:01.838Z,161369400183902
"""Steve @ YzCZkAUETt"" collected 0.30 from pot",2021-02-19T00:20:01.838Z,161369400183901
"Uncalled bet of 0.50 returned to ""Steve @ YzCZkAUETt""",2021-02-19T00:20:01.838Z,161369400183900
"""Noah @ jLblaRls_D"" folds",2021-02-19T00:20:01.032Z,161369400103300
"""Blake @ UmDnqTo27H"" folds",2021-02-19T00:19:58.827Z,161369399882800
"""Steve @ YzCZkAUETt"" bets 0.50",2021-02-19T00:19:57.227Z,161369399722800
"""Noah @ jLblaRls_D"" checks",2021-02-19T00:19:53.682Z,161369399368200
"Flop:  [10♣, A♣, 6♣]",2021-02-19T00:19:51.247Z,161369399124800
"""Steve @ YzCZkAUETt"" checks",2021-02-19T00:19:50.442Z,161369399044200
"""Noah @ jLblaRls_D"" calls 0.10",2021-02-19T00:19:48.659Z,161369398866000
"""Blake @ UmDnqTo27H"" calls 0.10",2021-02-19T00:19:47.501Z,161369398750200
"""Steve @ YzCZkAUETt"" posts a big blind of 0.10",2021-02-19T00:19:45.948Z,161369398595006
"""Noah @ jLblaRls_D"" posts a small blind of 0.05",2021-02-19T00:19:45.948Z,161369398595005
"Your hand is 9♣, 8♥",2021-02-19T00:19:45.948Z,161369398595003
"Player stacks: #6 ""Steve @ YzCZkAUETt"" (21.76) | #8 ""Blake @ UmDnqTo27H"" (37.17) | #10 ""Noah @ jLblaRls_D"" (8.07)",2021-02-19T00:19:45.948Z,161369398595001
"-- starting hand #129  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-02-19T00:19:45.948Z,161369398595000
"""Noah @ jLblaRls_D"" shows a 10♣, 6♣.",2021-02-19T00:19:38.528Z,161369397852900
"""Steve @ YzCZkAUETt"" shows a 7♣, 9♦.",2021-02-19T00:19:37.381Z,161369397738200
"""Blake @ UmDnqTo27H"" shows a Q♣, 7♠.",2021-02-19T00:19:36.383Z,161369397638300
"Undealt cards: 5♥, 4♣, J♦, Q♦ [2♦]",2021-02-19T00:19:35.378Z,161369397538000
"-- ending hand #128 --",2021-02-19T00:19:34.781Z,161369397478202
"""Blake @ UmDnqTo27H"" collected 0.30 from pot",2021-02-19T00:19:34.781Z,161369397478201
"Uncalled bet of 0.45 returned to ""Blake @ UmDnqTo27H""",2021-02-19T00:19:34.781Z,161369397478200
"""Steve @ YzCZkAUETt"" folds",2021-02-19T00:19:33.976Z,161369397397700
"""Noah @ jLblaRls_D"" folds",2021-02-19T00:19:33.104Z,161369397310400
"""Blake @ UmDnqTo27H"" bets 0.45",2021-02-19T00:19:31.311Z,161369397131100
"Turn: 5♥, 4♣, J♦ [Q♦]",2021-02-19T00:19:28.708Z,161369396870900
"""Steve @ YzCZkAUETt"" checks",2021-02-19T00:19:27.902Z,161369396790300
"""Noah @ jLblaRls_D"" checks",2021-02-19T00:19:27.063Z,161369396706400
"""Blake @ UmDnqTo27H"" checks",2021-02-19T00:19:25.939Z,161369396594000
"Flop:  [5♥, 4♣, J♦]",2021-02-19T00:19:24.197Z,161369396419800
"""Noah @ jLblaRls_D"" checks",2021-02-19T00:19:23.390Z,161369396339100
"""Blake @ UmDnqTo27H"" calls 0.10",2021-02-19T00:19:22.078Z,161369396207800
"""Steve @ YzCZkAUETt"" calls 0.10",2021-02-19T00:19:21.246Z,161369396124700
"""Noah @ jLblaRls_D"" posts a big blind of 0.10",2021-02-19T00:19:19.957Z,161369395995806
