entry,at,order
"The player ""cbt @ q_oITmKaNu"" quits the game with a stack of 0.00.",2021-02-10T03:52:15.976Z,161292913598000
"-- ending hand #151 --",2021-02-10T03:51:56.678Z,161292911668002
"""Blake @ UmDnqTo27H"" collected 1.73 from pot with Two Pair, Q's & 9's on the second run  (combination: Q♠, Q♥, 9♥, 9♦, K♥)",2021-02-10T03:51:56.678Z,161292911668001
"""Blake @ UmDnqTo27H"" collected 1.73 from pot with Three of a Kind, Q's (combination: Q♠, Q♥, Q♣, A♠, K♥)",2021-02-10T03:51:56.678Z,161292911668000
"River (second run): 8♠, Q♥, K♥, 4♠ [9♦]",2021-02-10T03:51:53.658Z,161292911366100
"Turn (second run): 8♠, Q♥, K♥ [4♠]",2021-02-10T03:51:50.615Z,161292911061700
"River: 8♠, Q♥, K♥, Q♣ [A♠]",2021-02-10T03:51:47.593Z,161292910759500
"Turn: 8♠, Q♥, K♥ [Q♣]",2021-02-10T03:51:44.581Z,161292910458300
"""cbt @ q_oITmKaNu"" shows a K♦, J♣.",2021-02-10T03:51:41.566Z,161292910156702
"""Blake @ UmDnqTo27H"" shows a Q♠, 9♥.",2021-02-10T03:51:41.566Z,161292910156701
"Uncalled bet of 17.83 returned to ""Blake @ UmDnqTo27H""",2021-02-10T03:51:41.566Z,161292910156700
"All players in hand choose to run it twice.",2021-02-10T03:51:40.758Z,161292910076001
"""cbt @ q_oITmKaNu"" chooses to  run it twice.",2021-02-10T03:51:40.758Z,161292910076000
"""Blake @ UmDnqTo27H"" chooses to  run it twice.",2021-02-10T03:51:39.843Z,161292909984400
"Remaining players decide whether to run it twice.",2021-02-10T03:51:39.114Z,161292909911501
"""cbt @ q_oITmKaNu"" calls 0.83 and go all in",2021-02-10T03:51:39.114Z,161292909911500
"""Blake @ UmDnqTo27H"" raises to 18.66 and go all in",2021-02-10T03:51:37.231Z,161292909723600
"""cbt @ q_oITmKaNu"" bets 0.70",2021-02-10T03:51:34.248Z,161292909424900
"Flop:  [8♠, Q♥, K♥]",2021-02-10T03:51:24.739Z,161292908474000
"""Blake @ UmDnqTo27H"" calls 0.90",2021-02-10T03:51:23.932Z,161292908393300
"""cbt @ q_oITmKaNu"" raises to 0.90",2021-02-10T03:51:21.496Z,161292908149700
"""Blake @ UmDnqTo27H"" raises to 0.45",2021-02-10T03:51:17.019Z,161292907702100
"""cbt @ q_oITmKaNu"" posts a big blind of 0.10",2021-02-10T03:51:11.486Z,161292907148905
"""Blake @ UmDnqTo27H"" posts a small blind of 0.05",2021-02-10T03:51:11.486Z,161292907148904
"Your hand is Q♠, 9♥",2021-02-10T03:51:11.486Z,161292907148902
"Player stacks: #8 ""Blake @ UmDnqTo27H"" (19.56) | #9 ""cbt @ q_oITmKaNu"" (1.73)",2021-02-10T03:51:11.486Z,161292907148901
"-- starting hand #151  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-02-10T03:51:11.486Z,161292907148900
"-- ending hand #150 --",2021-02-10T03:51:01.669Z,161292906167102
"""cbt @ q_oITmKaNu"" collected 1.73 from pot with Two Pair, Q's & J's on the second run  (combination: Q♣, Q♦, J♠, J♥, 9♥)",2021-02-10T03:51:01.669Z,161292906167101
"""Blake @ UmDnqTo27H"" collected 1.73 from pot with Three of a Kind, 3's (combination: 3♦, 3♥, 3♠, 8♣, 7♥)",2021-02-10T03:51:01.669Z,161292906167100
"River (second run): J♥, 9♥, 4♥, 2♦ [Q♦]",2021-02-10T03:50:58.653Z,161292905865600
"Turn (second run): J♥, 9♥, 4♥ [2♦]",2021-02-10T03:50:55.643Z,161292905564500
"Flop (second run):  [J♥, 9♥, 4♥]",2021-02-10T03:50:52.628Z,161292905263000
"River: 7♥, 3♠, 5♦, 4♦ [8♣]",2021-02-10T03:50:49.612Z,161292904961700
"Turn: 7♥, 3♠, 5♦ [4♦]",2021-02-10T03:50:46.592Z,161292904659300
"Flop:  [7♥, 3♠, 5♦]",2021-02-10T03:50:43.574Z,161292904357500
"""cbt @ q_oITmKaNu"" shows a J♠, Q♣.",2021-02-10T03:50:40.553Z,161292904055402
"""Blake @ UmDnqTo27H"" shows a 3♦, 3♥.",2021-02-10T03:50:40.553Z,161292904055401
"Uncalled bet of 17.83 returned to ""Blake @ UmDnqTo27H""",2021-02-10T03:50:40.553Z,161292904055400
"""cbt @ q_oITmKaNu"" shows a J♠, Q♣.",2021-02-10T03:50:40.531Z,161292904053200
"All players in hand choose to run it twice.",2021-02-10T03:50:39.748Z,161292903974901
"""cbt @ q_oITmKaNu"" chooses to  run it twice.",2021-02-10T03:50:39.748Z,161292903974900
"""Blake @ UmDnqTo27H"" chooses to  run it twice.",2021-02-10T03:50:38.447Z,161292903844800
"Remaining players decide whether to run it twice.",2021-02-10T03:50:38.421Z,161292903842201
"""cbt @ q_oITmKaNu"" calls 1.73 and go all in",2021-02-10T03:50:38.421Z,161292903842200
"""Blake @ UmDnqTo27H"" raises to 19.56 and go all in",2021-02-10T03:50:36.053Z,161292903605400
"""cbt @ q_oITmKaNu"" raises to 0.30",2021-02-10T03:50:32.785Z,161292903278600
"""Blake @ UmDnqTo27H"" posts a big blind of 0.10",2021-02-10T03:50:28.676Z,161292902867805
"""cbt @ q_oITmKaNu"" posts a small blind of 0.05",2021-02-10T03:50:28.676Z,161292902867804
"Your hand is 3♦, 3♥",2021-02-10T03:50:28.676Z,161292902867802
"Player stacks: #8 ""Blake @ UmDnqTo27H"" (19.56) | #9 ""cbt @ q_oITmKaNu"" (1.73)",2021-02-10T03:50:28.676Z,161292902867801
"-- starting hand #150  (No Limit Texas Hold'em) (dealer: ""cbt @ q_oITmKaNu"") --",2021-02-10T03:50:28.676Z,161292902867800
"""Blake @ UmDnqTo27H"" shows a 4♦, K♠.",2021-02-10T03:50:22.449Z,161292902245000
"""cbt @ q_oITmKaNu"" shows a K♥, 6♣.",2021-02-10T03:50:20.200Z,161292902020100
"Undealt cards: 7♠, J♣, Q♣ [8♠, 4♣]",2021-02-10T03:50:20.036Z,161292902003800
"-- ending hand #149 --",2021-02-10T03:50:19.616Z,161292901962002
"""cbt @ q_oITmKaNu"" collected 0.60 from pot",2021-02-10T03:50:19.616Z,161292901962001
"Uncalled bet of 0.40 returned to ""cbt @ q_oITmKaNu""",2021-02-10T03:50:19.616Z,161292901962000
"""Blake @ UmDnqTo27H"" folds",2021-02-10T03:50:18.811Z,161292901881200
"""cbt @ q_oITmKaNu"" bets 0.40",2021-02-10T03:50:17.947Z,161292901794800
"Flop:  [7♠, J♣, Q♣]",2021-02-10T03:50:12.688Z,161292901268900
"""Blake @ UmDnqTo27H"" calls 0.30",2021-02-10T03:50:11.883Z,161292901188300
"""cbt @ q_oITmKaNu"" raises to 0.30",2021-02-10T03:50:10.198Z,161292901019900
"""Blake @ UmDnqTo27H"" calls 0.10",2021-02-10T03:50:06.564Z,161292900656500
"""cbt @ q_oITmKaNu"" posts a big blind of 0.10",2021-02-10T03:50:00.239Z,161292900024105
"""Blake @ UmDnqTo27H"" posts a small blind of 0.05",2021-02-10T03:50:00.239Z,161292900024104
"Your hand is 4♦, K♠",2021-02-10T03:50:00.239Z,161292900024102
"Player stacks: #8 ""Blake @ UmDnqTo27H"" (19.86) | #9 ""cbt @ q_oITmKaNu"" (1.43)",2021-02-10T03:50:00.239Z,161292900024101
"-- starting hand #149  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-02-10T03:50:00.239Z,161292900024100
"""Blake @ UmDnqTo27H"" shows a 9♣, A♦.",2021-02-10T03:49:56.865Z,161292899686600
"""cbt @ q_oITmKaNu"" shows a K♦, 8♥.",2021-02-10T03:49:55.289Z,161292899529000
"Undealt cards: 7♦, 7♥, 7♣ [2♥, 3♥]",2021-02-10T03:49:54.898Z,161292899490400
"-- ending hand #148 --",2021-02-10T03:49:54.124Z,161292899412502
"""Blake @ UmDnqTo27H"" collected 1.70 from pot",2021-02-10T03:49:54.124Z,161292899412501
"Uncalled bet of 18.16 returned to ""Blake @ UmDnqTo27H""",2021-02-10T03:49:54.124Z,161292899412500
"""cbt @ q_oITmKaNu"" folds",2021-02-10T03:49:53.318Z,161292899331900
"""Blake @ UmDnqTo27H"" bets 18.16 and go all in",2021-02-10T03:49:46.789Z,161292898679000
"Flop:  [7♦, 7♥, 7♣]",2021-02-10T03:49:40.809Z,161292898081000
"""cbt @ q_oITmKaNu"" calls 0.85",2021-02-10T03:49:39.997Z,161292897999800
"""Blake @ UmDnqTo27H"" raises to 0.85",2021-02-10T03:49:37.730Z,161292897773100
"""cbt @ q_oITmKaNu"" raises to 0.30",2021-02-10T03:49:32.088Z,161292897208900
"""Blake @ UmDnqTo27H"" posts a big blind of 0.10",2021-02-10T03:49:28.924Z,161292896892505
"""cbt @ q_oITmKaNu"" posts a small blind of 0.05",2021-02-10T03:49:28.924Z,161292896892504
"Your hand is 9♣, A♦",2021-02-10T03:49:28.924Z,161292896892502
"Player stacks: #8 ""Blake @ UmDnqTo27H"" (19.01) | #9 ""cbt @ q_oITmKaNu"" (2.28)",2021-02-10T03:49:28.924Z,161292896892501
"-- starting hand #148  (No Limit Texas Hold'em) (dealer: ""cbt @ q_oITmKaNu"") --",2021-02-10T03:49:28.924Z,161292896892500
"""Blake @ UmDnqTo27H"" shows a 6♠, 9♣.",2021-02-10T03:49:27.400Z,161292896740100
"""cbt @ q_oITmKaNu"" shows a 10♣, Q♣.",2021-02-10T03:49:26.751Z,161292896675200
"Undealt cards: K♣, 7♦, 3♦ [J♠, Q♠]",2021-02-10T03:49:26.349Z,161292896635100
"-- ending hand #147 --",2021-02-10T03:49:25.763Z,161292896576402
"""cbt @ q_oITmKaNu"" collected 0.60 from pot",2021-02-10T03:49:25.763Z,161292896576401
"Uncalled bet of 0.40 returned to ""cbt @ q_oITmKaNu""",2021-02-10T03:49:25.763Z,161292896576400
"""Blake @ UmDnqTo27H"" folds",2021-02-10T03:49:24.941Z,161292896494100
"""cbt @ q_oITmKaNu"" bets 0.40",2021-02-10T03:49:23.841Z,161292896384200
"Flop:  [K♣, 7♦, 3♦]",2021-02-10T03:49:19.140Z,161292895914100
"""Blake @ UmDnqTo27H"" calls 0.30",2021-02-10T03:49:18.331Z,161292895833100
"""cbt @ q_oITmKaNu"" raises to 0.30",2021-02-10T03:49:16.699Z,161292895670000
"""Blake @ UmDnqTo27H"" calls 0.10",2021-02-10T03:49:13.318Z,161292895331900
"""cbt @ q_oITmKaNu"" posts a big blind of 0.10",2021-02-10T03:49:11.601Z,161292895160205
"""Blake @ UmDnqTo27H"" posts a small blind of 0.05",2021-02-10T03:49:11.601Z,161292895160204
"Your hand is 6♠, 9♣",2021-02-10T03:49:11.601Z,161292895160202
"Player stacks: #8 ""Blake @ UmDnqTo27H"" (19.31) | #9 ""cbt @ q_oITmKaNu"" (1.98)",2021-02-10T03:49:11.601Z,161292895160201
"-- starting hand #147  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-02-10T03:49:11.601Z,161292895160200
"-- ending hand #146 --",2021-02-10T03:49:08.847Z,161292894885002
"""cbt @ q_oITmKaNu"" collected 0.99 from pot with Pair, 3's on the second run  (combination: 3♥, 3♦, K♠, 10♦, 7♣)",2021-02-10T03:49:08.847Z,161292894885001
"""cbt @ q_oITmKaNu"" collected 0.99 from pot with Two Pair, J's & 3's (combination: J♦, J♥, 3♥, 3♦, 8♦)",2021-02-10T03:49:08.847Z,161292894885000
"River (second run): 10♦, K♠, 2♦, 6♦ [7♣]",2021-02-10T03:49:05.835Z,161292894583800
"Turn (second run): 10♦, K♠, 2♦ [6♦]",2021-02-10T03:49:02.818Z,161292894282100
"Flop (second run):  [10♦, K♠, 2♦]",2021-02-10T03:48:59.795Z,161292893979700
"River: 4♥, J♦, 8♦, J♥ [7♠]",2021-02-10T03:48:56.774Z,161292893677700
"Turn: 4♥, J♦, 8♦ [J♥]",2021-02-10T03:48:53.750Z,161292893375100
"Flop:  [4♥, J♦, 8♦]",2021-02-10T03:48:50.724Z,161292893072600
"""cbt @ q_oITmKaNu"" shows a 3♥, 3♦.",2021-02-10T03:48:47.699Z,161292892770002
"""Blake @ UmDnqTo27H"" shows a 9♦, Q♠.",2021-02-10T03:48:47.699Z,161292892770001
"Uncalled bet of 19.31 returned to ""Blake @ UmDnqTo27H""",2021-02-10T03:48:47.699Z,161292892770000
"All players in hand choose to run it twice.",2021-02-10T03:48:46.891Z,161292892689201
"""cbt @ q_oITmKaNu"" chooses to  run it twice.",2021-02-10T03:48:46.891Z,161292892689200
"""Blake @ UmDnqTo27H"" chooses to  run it twice.",2021-02-10T03:48:44.950Z,161292892495100
"Remaining players decide whether to run it twice.",2021-02-10T03:48:44.922Z,161292892492301
"""cbt @ q_oITmKaNu"" calls 0.99 and go all in",2021-02-10T03:48:44.922Z,161292892492300
"""Blake @ UmDnqTo27H"" raises to 20.30 and go all in",2021-02-10T03:48:43.261Z,161292892326100
"""cbt @ q_oITmKaNu"" raises to 0.30",2021-02-10T03:48:39.379Z,161292891938000
"""Blake @ UmDnqTo27H"" posts a big blind of 0.10",2021-02-10T03:48:35.797Z,161292891579805
"""cbt @ q_oITmKaNu"" posts a small blind of 0.05",2021-02-10T03:48:35.797Z,161292891579804
"Your hand is 9♦, Q♠",2021-02-10T03:48:35.797Z,161292891579802
"Player stacks: #8 ""Blake @ UmDnqTo27H"" (20.30) | #9 ""cbt @ q_oITmKaNu"" (0.99)",2021-02-10T03:48:35.797Z,161292891579801
"-- starting hand #146  (No Limit Texas Hold'em) (dealer: ""cbt @ q_oITmKaNu"") --",2021-02-10T03:48:35.797Z,161292891579800
"Undealt cards:  [5♦, 3♦, 10♦, J♠, 5♠]",2021-02-10T03:48:30.467Z,161292891046800
"""cbt @ q_oITmKaNu"" shows a 2♦, 6♠.",2021-02-10T03:48:29.836Z,161292890983700
"""Blake @ UmDnqTo27H"" shows a 2♥, 8♠.",2021-02-10T03:48:29.736Z,161292890973700
"-- ending hand #145 --",2021-02-10T03:48:28.921Z,161292890892202
"""Blake @ UmDnqTo27H"" collected 0.20 from pot",2021-02-10T03:48:28.921Z,161292890892201
"Uncalled bet of 0.35 returned to ""Blake @ UmDnqTo27H""",2021-02-10T03:48:28.921Z,161292890892200
"""cbt @ q_oITmKaNu"" folds",2021-02-10T03:48:28.117Z,161292890811700
"""Blake @ UmDnqTo27H"" raises to 0.45",2021-02-10T03:48:26.808Z,161292890680900
"""cbt @ q_oITmKaNu"" posts a big blind of 0.10",2021-02-10T03:48:23.552Z,161292890355305
"""Blake @ UmDnqTo27H"" posts a small blind of 0.05",2021-02-10T03:48:23.552Z,161292890355304
"Your hand is 2♥, 8♠",2021-02-10T03:48:23.552Z,161292890355302
"Player stacks: #8 ""Blake @ UmDnqTo27H"" (20.20) | #9 ""cbt @ q_oITmKaNu"" (1.09)",2021-02-10T03:48:23.552Z,161292890355301
"-- starting hand #145  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-02-10T03:48:23.552Z,161292890355300
"""Blake @ UmDnqTo27H"" shows a 3♠, 8♦.",2021-02-10T03:48:21.383Z,161292890138400
"Undealt cards:  [2♥, J♦, 10♥, J♠, 9♥]",2021-02-10T03:48:19.915Z,161292889991600
"""cbt @ q_oITmKaNu"" shows a A♣, 3♣.",2021-02-10T03:48:19.826Z,161292889982700
"-- ending hand #144 --",2021-02-10T03:48:19.136Z,161292889913702
"""cbt @ q_oITmKaNu"" collected 0.20 from pot",2021-02-10T03:48:19.136Z,161292889913701
"Uncalled bet of 0.20 returned to ""cbt @ q_oITmKaNu""",2021-02-10T03:48:19.136Z,161292889913700
"""Blake @ UmDnqTo27H"" folds",2021-02-10T03:48:18.322Z,161292889832300
"""cbt @ q_oITmKaNu"" raises to 0.30",2021-02-10T03:48:16.146Z,161292889614700
"""Blake @ UmDnqTo27H"" posts a big blind of 0.10",2021-02-10T03:48:12.596Z,161292889259705
"""cbt @ q_oITmKaNu"" posts a small blind of 0.05",2021-02-10T03:48:12.596Z,161292889259704
"Your hand is 3♠, 8♦",2021-02-10T03:48:12.596Z,161292889259702
"Player stacks: #8 ""Blake @ UmDnqTo27H"" (20.30) | #9 ""cbt @ q_oITmKaNu"" (0.99)",2021-02-10T03:48:12.596Z,161292889259701
"-- starting hand #144  (No Limit Texas Hold'em) (dealer: ""cbt @ q_oITmKaNu"") --",2021-02-10T03:48:12.596Z,161292889259700
"""Blake @ UmDnqTo27H"" shows a 3♥, 6♦.",2021-02-10T03:48:08.646Z,161292888864700
"Undealt cards:  [8♣, 8♥, 4♣, 9♠, J♠]",2021-02-10T03:48:04.455Z,161292888445700
"""cbt @ q_oITmKaNu"" shows a 7♦, 7♠.",2021-02-10T03:48:04.355Z,161292888435600
"-- ending hand #143 --",2021-02-10T03:48:03.335Z,161292888333602
"""cbt @ q_oITmKaNu"" collected 0.20 from pot",2021-02-10T03:48:03.335Z,161292888333601
"Uncalled bet of 0.20 returned to ""cbt @ q_oITmKaNu""",2021-02-10T03:48:03.335Z,161292888333600
"""Blake @ UmDnqTo27H"" folds",2021-02-10T03:48:02.530Z,161292888253000
"""cbt @ q_oITmKaNu"" raises to 0.30",2021-02-10T03:48:00.464Z,161292888046600
"""Blake @ UmDnqTo27H"" calls 0.10",2021-02-10T03:47:54.462Z,161292887446200
"""cbt @ q_oITmKaNu"" posts a big blind of 0.10",2021-02-10T03:47:52.758Z,161292887275905
"""Blake @ UmDnqTo27H"" posts a small blind of 0.05",2021-02-10T03:47:52.758Z,161292887275904
"Your hand is 3♥, 6♦",2021-02-10T03:47:52.758Z,161292887275902
"Player stacks: #8 ""Blake @ UmDnqTo27H"" (20.40) | #9 ""cbt @ q_oITmKaNu"" (0.89)",2021-02-10T03:47:52.758Z,161292887275901
"-- starting hand #143  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-02-10T03:47:52.758Z,161292887275900
"Undealt cards:  [A♦, Q♦, 5♥, J♣, 9♦]",2021-02-10T03:47:49.104Z,161292886910400
"""cbt @ q_oITmKaNu"" shows a Q♥, 2♣.",2021-02-10T03:47:48.501Z,161292886850200
"""Blake @ UmDnqTo27H"" shows a 5♦, 8♣.",2021-02-10T03:47:48.300Z,161292886830000
"-- ending hand #142 --",2021-02-10T03:47:47.260Z,161292886726102
"""Blake @ UmDnqTo27H"" collected 0.10 from pot",2021-02-10T03:47:47.260Z,161292886726101
"Uncalled bet of 0.05 returned to ""Blake @ UmDnqTo27H""",2021-02-10T03:47:47.260Z,161292886726100
"""cbt @ q_oITmKaNu"" folds",2021-02-10T03:47:46.440Z,161292886644200
"""Blake @ UmDnqTo27H"" posts a big blind of 0.10",2021-02-10T03:47:44.443Z,161292886444505
"""cbt @ q_oITmKaNu"" posts a small blind of 0.05",2021-02-10T03:47:44.443Z,161292886444504
"Your hand is 5♦, 8♣",2021-02-10T03:47:44.443Z,161292886444502
"Player stacks: #8 ""Blake @ UmDnqTo27H"" (20.35) | #9 ""cbt @ q_oITmKaNu"" (0.94)",2021-02-10T03:47:44.443Z,161292886444501
"-- starting hand #142  (No Limit Texas Hold'em) (dealer: ""cbt @ q_oITmKaNu"") --",2021-02-10T03:47:44.443Z,161292886444500
"""Blake @ UmDnqTo27H"" shows a A♣, Q♥.",2021-02-10T03:47:43.198Z,161292886319900
"""cbt @ q_oITmKaNu"" shows a 3♠, 2♣.",2021-02-10T03:47:41.646Z,161292886164800
"Undealt cards:  [8♣, K♦, 5♦, 10♦, A♦]",2021-02-10T03:47:40.854Z,161292886085700
"-- ending hand #141 --",2021-02-10T03:47:40.043Z,161292886004402
"""Blake @ UmDnqTo27H"" collected 0.20 from pot",2021-02-10T03:47:40.043Z,161292886004401
"Uncalled bet of 20.15 returned to ""Blake @ UmDnqTo27H""",2021-02-10T03:47:40.043Z,161292886004400
"""cbt @ q_oITmKaNu"" folds",2021-02-10T03:47:39.239Z,161292885923900
"""Blake @ UmDnqTo27H"" raises to 20.25 and go all in",2021-02-10T03:47:38.089Z,161292885809000
"""cbt @ q_oITmKaNu"" posts a big blind of 0.10",2021-02-10T03:47:33.880Z,161292885388205
"""Blake @ UmDnqTo27H"" posts a small blind of 0.05",2021-02-10T03:47:33.880Z,161292885388204
"Your hand is A♣, Q♥",2021-02-10T03:47:33.880Z,161292885388202
"Player stacks: #8 ""Blake @ UmDnqTo27H"" (20.25) | #9 ""cbt @ q_oITmKaNu"" (1.04)",2021-02-10T03:47:33.880Z,161292885388201
"-- starting hand #141  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-02-10T03:47:33.880Z,161292885388200
"Undealt cards:  [2♦, 10♣, 4♣, 4♠, A♦]",2021-02-10T03:47:28.431Z,161292884843300
"""Blake @ UmDnqTo27H"" shows a 6♥, 6♠.",2021-02-10T03:47:27.647Z,161292884764800
"""cbt @ q_oITmKaNu"" shows a 5♥, 3♣.",2021-02-10T03:47:27.426Z,161292884742700
"-- ending hand #140 --",2021-02-10T03:47:26.569Z,161292884657002
"""Blake @ UmDnqTo27H"" collected 0.10 from pot",2021-02-10T03:47:26.569Z,161292884657001
"Uncalled bet of 0.05 returned to ""Blake @ UmDnqTo27H""",2021-02-10T03:47:26.569Z,161292884657000
"""cbt @ q_oITmKaNu"" folds",2021-02-10T03:47:25.757Z,161292884575800
"""Blake @ UmDnqTo27H"" posts a big blind of 0.10",2021-02-10T03:47:24.540Z,161292884454105
"""cbt @ q_oITmKaNu"" posts a small blind of 0.05",2021-02-10T03:47:24.540Z,161292884454104
"Your hand is 6♥, 6♠",2021-02-10T03:47:24.540Z,161292884454102
"Player stacks: #8 ""Blake @ UmDnqTo27H"" (20.20) | #9 ""cbt @ q_oITmKaNu"" (1.09)",2021-02-10T03:47:24.540Z,161292884454101
"-- starting hand #140  (No Limit Texas Hold'em) (dealer: ""cbt @ q_oITmKaNu"") --",2021-02-10T03:47:24.540Z,161292884454100
"""Blake @ UmDnqTo27H"" shows a Q♠, 10♦.",2021-02-10T03:47:21.661Z,161292884166200
"""cbt @ q_oITmKaNu"" shows a 2♥, 8♣.",2021-02-10T03:47:20.717Z,161292884071800
"Undealt cards: 8♥, 4♦, 5♠ [7♦, 9♠]",2021-02-10T03:47:19.980Z,161292883998100
"-- ending hand #139 --",2021-02-10T03:47:19.614Z,161292883961602
"""cbt @ q_oITmKaNu"" collected 0.20 from pot",2021-02-10T03:47:19.614Z,161292883961601
"Uncalled bet of 0.89 returned to ""cbt @ q_oITmKaNu""",2021-02-10T03:47:19.614Z,161292883961600
"""Blake @ UmDnqTo27H"" folds",2021-02-10T03:47:18.806Z,161292883880600
"""cbt @ q_oITmKaNu"" bets 0.89 and go all in",2021-02-10T03:47:17.574Z,161292883757500
"Flop:  [8♥, 4♦, 5♠]",2021-02-10T03:47:13.438Z,161292883343900
"""cbt @ q_oITmKaNu"" checks",2021-02-10T03:47:12.626Z,161292883262600
"""Blake @ UmDnqTo27H"" calls 0.10",2021-02-10T03:47:10.711Z,161292883071200
"""cbt @ q_oITmKaNu"" posts a big blind of 0.10",2021-02-10T03:47:08.845Z,161292882884705
"""Blake @ UmDnqTo27H"" posts a small blind of 0.05",2021-02-10T03:47:08.845Z,161292882884704
"Your hand is Q♠, 10♦",2021-02-10T03:47:08.845Z,161292882884702
"Player stacks: #8 ""Blake @ UmDnqTo27H"" (20.30) | #9 ""cbt @ q_oITmKaNu"" (0.99)",2021-02-10T03:47:08.845Z,161292882884701
"-- starting hand #139  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-02-10T03:47:08.845Z,161292882884700
