entry,at,order
"""hangbrain @ uJPRejo7QY"" shows a A♦, 8♦.",2021-03-31T02:16:08.505Z,161715696850600
"""Blake @ UmDnqTo27H"" shows a J♠, J♣.",2021-03-31T02:16:08.005Z,161715696800600
"""Michael @ 0_t7tmA14z"" shows a Q♠, 2♣.",2021-03-31T02:16:07.336Z,161715696733700
"Undealt cards: Q♦, 4♥, 2♥ [Q♣, 4♣]",2021-03-31T02:16:06.809Z,161715696681000
"-- ending hand #81 --",2021-03-31T02:16:05.874Z,161715696587502
"""Michael @ 0_t7tmA14z"" collected 0.30 from pot",2021-03-31T02:16:05.874Z,161715696587501
"Uncalled bet of 1.00 returned to ""Michael @ 0_t7tmA14z""",2021-03-31T02:16:05.874Z,161715696587500
"""hangbrain @ uJPRejo7QY"" folds",2021-03-31T02:16:05.066Z,161715696506700
"""Blake @ UmDnqTo27H"" folds",2021-03-31T02:16:03.303Z,161715696330400
"""Michael @ 0_t7tmA14z"" bets 1.00",2021-03-31T02:16:00.584Z,161715696058500
"""hangbrain @ uJPRejo7QY"" checks",2021-03-31T02:15:57.163Z,161715695716400
"Flop:  [Q♦, 4♥, 2♥]",2021-03-31T02:15:54.127Z,161715695412800
"""Michael @ 0_t7tmA14z"" checks",2021-03-31T02:15:53.320Z,161715695332000
"""hangbrain @ uJPRejo7QY"" calls 0.10",2021-03-31T02:15:51.850Z,161715695185100
"""Blake @ UmDnqTo27H"" calls 0.10",2021-03-31T02:15:50.361Z,161715695036200
"""Michael @ 0_t7tmA14z"" posts a big blind of 0.10",2021-03-31T02:15:48.891Z,161715694889206
"""hangbrain @ uJPRejo7QY"" posts a small blind of 0.05",2021-03-31T02:15:48.891Z,161715694889205
"Your hand is J♠, J♣",2021-03-31T02:15:48.891Z,161715694889203
"Player stacks: #3 ""Michael @ 0_t7tmA14z"" (12.25) | #8 ""Blake @ UmDnqTo27H"" (8.85) | #9 ""hangbrain @ uJPRejo7QY"" (2.70)",2021-03-31T02:15:48.891Z,161715694889201
"-- starting hand #81  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-03-31T02:15:48.891Z,161715694889200
"""Blake @ UmDnqTo27H"" shows a 3♥, 8♦.",2021-03-31T02:15:48.043Z,161715694804400
"Undealt cards:  [A♥, 7♠, 2♠, A♦, 4♣]",2021-03-31T02:15:46.836Z,161715694683700
"""Michael @ 0_t7tmA14z"" shows a 8♥, J♥.",2021-03-31T02:15:45.915Z,161715694591600
"-- ending hand #80 --",2021-03-31T02:15:45.037Z,161715694503802
"""Michael @ 0_t7tmA14z"" collected 0.25 from pot",2021-03-31T02:15:45.037Z,161715694503801
"Uncalled bet of 0.20 returned to ""Michael @ 0_t7tmA14z""",2021-03-31T02:15:45.037Z,161715694503800
"""hangbrain @ uJPRejo7QY"" folds",2021-03-31T02:15:44.227Z,161715694422800
"""Blake @ UmDnqTo27H"" folds",2021-03-31T02:15:42.950Z,161715694295100
"""Michael @ 0_t7tmA14z"" raises to 0.30",2021-03-31T02:15:40.827Z,161715694082800
"""hangbrain @ uJPRejo7QY"" posts a big blind of 0.10",2021-03-31T02:15:38.368Z,161715693837006
"""Blake @ UmDnqTo27H"" posts a small blind of 0.05",2021-03-31T02:15:38.368Z,161715693837005
"Your hand is 3♥, 8♦",2021-03-31T02:15:38.368Z,161715693837003
"Player stacks: #3 ""Michael @ 0_t7tmA14z"" (12.10) | #8 ""Blake @ UmDnqTo27H"" (8.90) | #9 ""hangbrain @ uJPRejo7QY"" (2.80)",2021-03-31T02:15:38.368Z,161715693837001
"-- starting hand #80  (No Limit Texas Hold'em) (dealer: ""Michael @ 0_t7tmA14z"") --",2021-03-31T02:15:38.368Z,161715693837000
"""hangbrain @ uJPRejo7QY"" shows a 3♥, 4♦.",2021-03-31T02:15:35.705Z,161715693570500
"""Blake @ UmDnqTo27H"" shows a 4♣, 7♠.",2021-03-31T02:15:34.790Z,161715693479100
"Undealt cards:  [A♦, 8♦, K♠, A♥, K♦]",2021-03-31T02:15:33.364Z,161715693336500
"""Michael @ 0_t7tmA14z"" shows a Q♣, J♣.",2021-03-31T02:15:32.931Z,161715693293200
"-- ending hand #79 --",2021-03-31T02:15:31.710Z,161715693171102
"""Michael @ 0_t7tmA14z"" collected 0.20 from pot",2021-03-31T02:15:31.710Z,161715693171101
"Uncalled bet of 0.40 returned to ""Michael @ 0_t7tmA14z""",2021-03-31T02:15:31.710Z,161715693171100
"""Blake @ UmDnqTo27H"" folds",2021-03-31T02:15:30.892Z,161715693089300
"""Michael @ 0_t7tmA14z"" raises to 0.50",2021-03-31T02:15:30.060Z,161715693006100
"""hangbrain @ uJPRejo7QY"" folds",2021-03-31T02:15:26.290Z,161715692629100
"""Blake @ UmDnqTo27H"" posts a big blind of 0.10",2021-03-31T02:15:24.262Z,161715692426306
"""Michael @ 0_t7tmA14z"" posts a small blind of 0.05",2021-03-31T02:15:24.262Z,161715692426305
"Your hand is 4♣, 7♠",2021-03-31T02:15:24.262Z,161715692426303
"Player stacks: #3 ""Michael @ 0_t7tmA14z"" (12.00) | #8 ""Blake @ UmDnqTo27H"" (9.00) | #9 ""hangbrain @ uJPRejo7QY"" (2.80)",2021-03-31T02:15:24.262Z,161715692426301
"-- starting hand #79  (No Limit Texas Hold'em) (dealer: ""hangbrain @ uJPRejo7QY"") --",2021-03-31T02:15:24.262Z,161715692426300
"""hangbrain @ uJPRejo7QY"" shows a 9♣, Q♠.",2021-03-31T02:15:22.946Z,161715692294700
