entry,at,order
"""Noah @ jLblaRls_D"" posts a big blind of 0.10",2021-02-11T04:54:37.095Z,161301927710008
"""Adam @ Mm2_pAS2UA"" posts a small blind of 0.05",2021-02-11T04:54:37.095Z,161301927710007
"Player stacks: #2 ""Ryan @ XwqhCQl1w5"" (18.75) | #3 ""Adam @ Mm2_pAS2UA"" (11.21) | #4 ""Noah @ jLblaRls_D"" (17.41) | #7 ""Steve @ YzCZkAUETt"" (8.02)",2021-02-11T04:54:37.095Z,161301927710002
"-- starting hand #104  (No Limit Texas Hold'em) (dealer: ""Ryan @ XwqhCQl1w5"") --",2021-02-11T04:54:37.095Z,161301927710001
"The player ""Blake @ UmDnqTo27H"" quits the game with a stack of 0.00.",2021-02-11T04:54:37.095Z,161301927710000
"""Steve @ YzCZkAUETt"" shows a 7♠, Q♣.",2021-02-11T04:54:34.323Z,161301927432500
"-- ending hand #103 --",2021-02-11T04:54:30.565Z,161301927056701
"""Noah @ jLblaRls_D"" collected 6.31 from pot with Pair, A's (combination: A♥, A♠, Q♥, J♣, 10♠)",2021-02-11T04:54:30.565Z,161301927056700
"River: 10♠, J♣, 9♦, A♠ [3♠]",2021-02-11T04:54:27.541Z,161301926754500
"Turn: 10♠, J♣, 9♦ [A♠]",2021-02-11T04:54:24.506Z,161301926450800
"Flop:  [10♠, J♣, 9♦]",2021-02-11T04:54:21.485Z,161301926149000
"""Blake @ UmDnqTo27H"" shows a Q♦, J♥.",2021-02-11T04:54:18.468Z,161301925847001
"""Noah @ jLblaRls_D"" shows a A♥, Q♥.",2021-02-11T04:54:18.468Z,161301925847000
"Some players choose to not run it twice.",2021-02-11T04:54:17.657Z,161301925765901
"""Noah @ jLblaRls_D"" chooses to not run it twice.",2021-02-11T04:54:17.657Z,161301925765900
"""Blake @ UmDnqTo27H"" chooses to  run it twice.",2021-02-11T04:54:15.948Z,161301925595400
"Remaining players decide whether to run it twice.",2021-02-11T04:54:15.915Z,161301925591701
"""Noah @ jLblaRls_D"" calls 3.08",2021-02-11T04:54:15.915Z,161301925591700
"""Adam @ Mm2_pAS2UA"" folds",2021-02-11T04:54:13.960Z,161301925396100
"""Ryan @ XwqhCQl1w5"" folds",2021-02-11T04:54:11.305Z,161301925130700
"""Blake @ UmDnqTo27H"" raises to 3.08 and go all in",2021-02-11T04:54:07.203Z,161301924720400
"""Steve @ YzCZkAUETt"" folds",2021-02-11T04:54:04.986Z,161301924498700
"""Noah @ jLblaRls_D"" calls 0.10",2021-02-11T04:54:03.160Z,161301924316200
"""Adam @ Mm2_pAS2UA"" posts a big blind of 0.10",2021-02-11T04:53:57.718Z,161301923772609
"""Ryan @ XwqhCQl1w5"" posts a small blind of 0.05",2021-02-11T04:53:57.718Z,161301923772608
"Your hand is Q♦, J♥",2021-02-11T04:53:57.718Z,161301923772607
"Player stacks: #2 ""Ryan @ XwqhCQl1w5"" (18.80) | #3 ""Adam @ Mm2_pAS2UA"" (11.31) | #4 ""Noah @ jLblaRls_D"" (14.18) | #7 ""Steve @ YzCZkAUETt"" (8.02) | #8 ""Blake @ UmDnqTo27H"" (3.08)",2021-02-11T04:53:57.718Z,161301923772602
"-- starting hand #103  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-02-11T04:53:57.718Z,161301923772601
"The player ""Victor @ umRS93e_BU"" quits the game with a stack of 0.00.",2021-02-11T04:53:57.718Z,161301923772600
"""Steve @ YzCZkAUETt"" shows a 7♥, 3♠.",2021-02-11T04:53:52.368Z,161301923237000
"-- ending hand #102 --",2021-02-11T04:53:51.170Z,161301923117101
"""Noah @ jLblaRls_D"" collected 3.08 from pot with Two Pair, K's & Q's (combination: K♦, K♠, Q♠, Q♣, 9♦)",2021-02-11T04:53:51.170Z,161301923117100
"River: 3♥, 4♠, 9♦, K♠ [Q♣]",2021-02-11T04:53:48.130Z,161301922813600
"Turn: 3♥, 4♠, 9♦ [K♠]",2021-02-11T04:53:45.105Z,161301922510800
"""Victor @ umRS93e_BU"" shows a 9♥, Q♥.",2021-02-11T04:53:42.071Z,161301922207201
"""Noah @ jLblaRls_D"" shows a Q♠, K♦.",2021-02-11T04:53:42.071Z,161301922207200
"Some players choose to not run it twice.",2021-02-11T04:53:41.261Z,161301922126201
"""Noah @ jLblaRls_D"" chooses to not run it twice.",2021-02-11T04:53:41.261Z,161301922126200
"Remaining players decide whether to run it twice.",2021-02-11T04:53:39.930Z,161301921993501
"""Noah @ jLblaRls_D"" calls 0.79",2021-02-11T04:53:39.930Z,161301921993500
"""Ryan @ XwqhCQl1w5"" folds",2021-02-11T04:53:37.563Z,161301921756500
"""Blake @ UmDnqTo27H"" folds",2021-02-11T04:53:32.511Z,161301921251200
"""Victor @ umRS93e_BU"" bets 0.79 and go all in",2021-02-11T04:53:30.981Z,161301921098200
"""Noah @ jLblaRls_D"" checks",2021-02-11T04:53:25.601Z,161301920560200
"""Ryan @ XwqhCQl1w5"" checks",2021-02-11T04:53:23.767Z,161301920376800
"""Blake @ UmDnqTo27H"" checks",2021-02-11T04:53:21.200Z,161301920120100
"Flop:  [3♥, 4♠, 9♦]",2021-02-11T04:53:19.129Z,161301919913000
"""Victor @ umRS93e_BU"" calls 0.35",2021-02-11T04:53:18.309Z,161301919831000
"""Noah @ jLblaRls_D"" calls 0.35",2021-02-11T04:53:15.500Z,161301919550100
"""Adam @ Mm2_pAS2UA"" folds",2021-02-11T04:53:13.509Z,161301919351000
"""Ryan @ XwqhCQl1w5"" calls 0.35",2021-02-11T04:53:11.147Z,161301919114800
"""Blake @ UmDnqTo27H"" raises to 0.35",2021-02-11T04:53:09.643Z,161301918964400
"""Steve @ YzCZkAUETt"" folds",2021-02-11T04:53:05.514Z,161301918551500
"""Victor @ umRS93e_BU"" calls 0.10",2021-02-11T04:53:04.670Z,161301918467300
"""Noah @ jLblaRls_D"" calls 0.10",2021-02-11T04:53:00.520Z,161301918052100
"""Adam @ Mm2_pAS2UA"" calls 0.10",2021-02-11T04:52:59.083Z,161301917908500
"""Ryan @ XwqhCQl1w5"" posts a big blind of 0.10",2021-02-11T04:52:55.235Z,161301917523609
"""Blake @ UmDnqTo27H"" posts a small blind of 0.05",2021-02-11T04:52:55.235Z,161301917523608
"Your hand is A♥, 5♦",2021-02-11T04:52:55.235Z,161301917523607
"Player stacks: #2 ""Ryan @ XwqhCQl1w5"" (19.15) | #3 ""Adam @ Mm2_pAS2UA"" (11.41) | #4 ""Noah @ jLblaRls_D"" (12.24) | #5 ""Victor @ umRS93e_BU"" (1.14) | #7 ""Steve @ YzCZkAUETt"" (8.02) | #8 ""Blake @ UmDnqTo27H"" (3.43)",2021-02-11T04:52:55.235Z,161301917523601
"-- starting hand #102  (No Limit Texas Hold'em) (dealer: ""Steve @ YzCZkAUETt"") --",2021-02-11T04:52:55.235Z,161301917523600
"""Steve @ YzCZkAUETt"" shows a 7♥, 10♥.",2021-02-11T04:52:51.610Z,161301917161100
"""Blake @ UmDnqTo27H"" shows a A♦, 2♦.",2021-02-11T04:52:51.168Z,161301917116900
"""Noah @ jLblaRls_D"" shows a Q♠, 2♥.",2021-02-11T04:52:50.921Z,161301917092200
"Undealt cards:  [3♦, 9♥, 6♦, K♦, 4♣]",2021-02-11T04:52:49.136Z,161301916913800
"-- ending hand #101 --",2021-02-11T04:52:47.197Z,161301916719802
"""Blake @ UmDnqTo27H"" collected 1.58 from pot",2021-02-11T04:52:47.197Z,161301916719801
"Uncalled bet of 1.85 returned to ""Blake @ UmDnqTo27H""",2021-02-11T04:52:47.197Z,161301916719800
"""Steve @ YzCZkAUETt"" folds",2021-02-11T04:52:46.384Z,161301916638500
"""Noah @ jLblaRls_D"" folds",2021-02-11T04:52:45.530Z,161301916553100
"""Adam @ Mm2_pAS2UA"" folds",2021-02-11T04:52:43.196Z,161301916319800
"""Ryan @ XwqhCQl1w5"" folds",2021-02-11T04:52:42.353Z,161301916235400
"""Blake @ UmDnqTo27H"" raises to 2.19 and go all in",2021-02-11T04:52:31.679Z,161301915168000
"""Steve @ YzCZkAUETt"" calls 0.34",2021-02-11T04:52:29.111Z,161301914911200
"""Victor @ umRS93e_BU"" folds",2021-02-11T04:52:26.591Z,161301914659200
"""Noah @ jLblaRls_D"" calls 0.34",2021-02-11T04:52:23.239Z,161301914324000
"""Adam @ Mm2_pAS2UA"" raises to 0.34",2021-02-11T04:52:21.865Z,161301914186600
"""Ryan @ XwqhCQl1w5"" raises to 0.22",2021-02-11T04:52:18.155Z,161301913815600
"""Blake @ UmDnqTo27H"" posts a big blind of 0.10",2021-02-11T04:52:10.958Z,161301913095909
"""Steve @ YzCZkAUETt"" posts a small blind of 0.05",2021-02-11T04:52:10.958Z,161301913095908
"Your hand is A♦, 2♦",2021-02-11T04:52:10.958Z,161301913095907
"Player stacks: #2 ""Ryan @ XwqhCQl1w5"" (19.37) | #3 ""Adam @ Mm2_pAS2UA"" (11.75) | #4 ""Noah @ jLblaRls_D"" (12.58) | #5 ""Victor @ umRS93e_BU"" (1.14) | #7 ""Steve @ YzCZkAUETt"" (8.36) | #8 ""Blake @ UmDnqTo27H"" (2.19)",2021-02-11T04:52:10.958Z,161301913095901
"-- starting hand #101  (No Limit Texas Hold'em) (dealer: ""Victor @ umRS93e_BU"") --",2021-02-11T04:52:10.958Z,161301913095900
"""Steve @ YzCZkAUETt"" shows a J♣, 5♠.",2021-02-11T04:52:07.427Z,161301912742800
"""Noah @ jLblaRls_D"" shows a A♦, A♣.",2021-02-11T04:52:04.916Z,161301912491700
"-- ending hand #100 --",2021-02-11T04:52:03.919Z,161301912392202
"""Ryan @ XwqhCQl1w5"" collected 2.77 from pot with Two Pair, Q's & J's (combination: Q♥, Q♦, J♥, J♦, 9♠)",2021-02-11T04:52:03.919Z,161301912392201
"""Ryan @ XwqhCQl1w5"" shows a Q♥, J♥.",2021-02-11T04:52:03.919Z,161301912392200
"""Noah @ jLblaRls_D"" calls 0.69",2021-02-11T04:52:03.091Z,161301912309200
"""Ryan @ XwqhCQl1w5"" bets 0.69",2021-02-11T04:51:58.415Z,161301911841600
"River: 9♠, J♦, 4♣, Q♦ [8♦]",2021-02-11T04:51:43.058Z,161301910306300
"""Noah @ jLblaRls_D"" calls 0.29",2021-02-11T04:51:42.239Z,161301910224100
"""Adam @ Mm2_pAS2UA"" folds",2021-02-11T04:51:40.289Z,161301910029000
"""Ryan @ XwqhCQl1w5"" bets 0.29",2021-02-11T04:51:35.913Z,161301909591400
"Turn: 9♠, J♦, 4♣ [Q♦]",2021-02-11T04:51:25.637Z,161301908564000
"""Noah @ jLblaRls_D"" checks",2021-02-11T04:51:24.823Z,161301908482800
"""Adam @ Mm2_pAS2UA"" checks",2021-02-11T04:51:23.544Z,161301908354500
"""Ryan @ XwqhCQl1w5"" checks",2021-02-11T04:51:20.799Z,161301908080100
"Flop:  [9♠, J♦, 4♣]",2021-02-11T04:51:15.124Z,161301907512600
"""Steve @ YzCZkAUETt"" folds",2021-02-11T04:51:14.309Z,161301907431100
"""Victor @ umRS93e_BU"" folds",2021-02-11T04:51:13.450Z,161301907345100
"""Noah @ jLblaRls_D"" calls 0.22",2021-02-11T04:51:04.328Z,161301906432900
"""Adam @ Mm2_pAS2UA"" calls 0.22",2021-02-11T04:51:01.744Z,161301906174500
"""Ryan @ XwqhCQl1w5"" raises to 0.22",2021-02-11T04:51:00.128Z,161301906012900
"""Blake @ UmDnqTo27H"" folds",2021-02-11T04:50:55.748Z,161301905575000
"""Steve @ YzCZkAUETt"" posts a big blind of 0.10",2021-02-11T04:50:54.245Z,161301905424609
"""Victor @ umRS93e_BU"" posts a small blind of 0.05",2021-02-11T04:50:54.245Z,161301905424608
"Your hand is 6♣, K♠",2021-02-11T04:50:54.245Z,161301905424607
"Player stacks: #2 ""Ryan @ XwqhCQl1w5"" (17.80) | #3 ""Adam @ Mm2_pAS2UA"" (11.97) | #4 ""Noah @ jLblaRls_D"" (13.78) | #5 ""Victor @ umRS93e_BU"" (1.19) | #7 ""Steve @ YzCZkAUETt"" (8.46) | #8 ""Blake @ UmDnqTo27H"" (2.19)",2021-02-11T04:50:54.245Z,161301905424601
"-- starting hand #100  (No Limit Texas Hold'em) (dealer: ""Noah @ jLblaRls_D"") --",2021-02-11T04:50:54.245Z,161301905424600
"""Steve @ YzCZkAUETt"" shows a 9♣, 3♠.",2021-02-11T04:50:50.733Z,161301905073400
"""Adam @ Mm2_pAS2UA"" shows a K♥, 2♥.",2021-02-11T04:50:50.588Z,161301905059000
"""Noah @ jLblaRls_D"" shows a Q♣, 7♦.",2021-02-11T04:50:50.169Z,161301905016900
"-- ending hand #99 --",2021-02-11T04:50:49.219Z,161301904922102
"""Adam @ Mm2_pAS2UA"" collected 0.76 from pot",2021-02-11T04:50:49.219Z,161301904922101
"Uncalled bet of 0.70 returned to ""Adam @ Mm2_pAS2UA""",2021-02-11T04:50:49.219Z,161301904922100
"""Ryan @ XwqhCQl1w5"" folds",2021-02-11T04:50:48.409Z,161301904841100
"""Noah @ jLblaRls_D"" folds",2021-02-11T04:50:46.661Z,161301904666200
"""Adam @ Mm2_pAS2UA"" bets 0.70",2021-02-11T04:50:44.062Z,161301904406400
"""Ryan @ XwqhCQl1w5"" checks",2021-02-11T04:50:38.916Z,161301903891700
"""Noah @ jLblaRls_D"" checks",2021-02-11T04:50:36.423Z,161301903642400
"River: 2♦, 4♦, A♣, 3♣ [2♣]",2021-02-11T04:50:29.347Z,161301902935200
"""Adam @ Mm2_pAS2UA"" checks",2021-02-11T04:50:28.537Z,161301902853800
"""Ryan @ XwqhCQl1w5"" checks",2021-02-11T04:50:27.448Z,161301902744900
"""Noah @ jLblaRls_D"" checks",2021-02-11T04:50:19.100Z,161301901910100
"Turn: 2♦, 4♦, A♣ [3♣]",2021-02-11T04:50:15.852Z,161301901585300
"""Adam @ Mm2_pAS2UA"" checks",2021-02-11T04:50:15.040Z,161301901504200
"""Ryan @ XwqhCQl1w5"" checks",2021-02-11T04:50:10.170Z,161301901017200
"""Noah @ jLblaRls_D"" checks",2021-02-11T04:50:07.975Z,161301900797600
"Flop:  [2♦, 4♦, A♣]",2021-02-11T04:50:03.643Z,161301900364500
"""Victor @ umRS93e_BU"" folds",2021-02-11T04:50:02.831Z,161301900283200
"""Noah @ jLblaRls_D"" calls 0.22",2021-02-11T04:50:01.259Z,161301900126400
"""Adam @ Mm2_pAS2UA"" calls 0.22",2021-02-11T04:49:57.745Z,161301899774700
"""Ryan @ XwqhCQl1w5"" raises to 0.22",2021-02-11T04:49:55.702Z,161301899570300
"""Blake @ UmDnqTo27H"" folds",2021-02-11T04:49:52.037Z,161301899203900
"""Steve @ YzCZkAUETt"" folds",2021-02-11T04:49:49.857Z,161301898985800
"""Victor @ umRS93e_BU"" posts a big blind of 0.10",2021-02-11T04:49:48.138Z,161301898814009
"""Noah @ jLblaRls_D"" posts a small blind of 0.05",2021-02-11T04:49:48.138Z,161301898814008
"Your hand is 6♦, 4♥",2021-02-11T04:49:48.138Z,161301898814007
"Player stacks: #2 ""Ryan @ XwqhCQl1w5"" (18.02) | #3 ""Adam @ Mm2_pAS2UA"" (11.43) | #4 ""Noah @ jLblaRls_D"" (14.00) | #5 ""Victor @ umRS93e_BU"" (1.29) | #7 ""Steve @ YzCZkAUETt"" (8.46) | #8 ""Blake @ UmDnqTo27H"" (2.19)",2021-02-11T04:49:48.138Z,161301898814001
"-- starting hand #99  (No Limit Texas Hold'em) (dealer: ""Adam @ Mm2_pAS2UA"") --",2021-02-11T04:49:48.138Z,161301898814000
"""Steve @ YzCZkAUETt"" shows a J♥, 3♣.",2021-02-11T04:49:44.566Z,161301898456700
"-- ending hand #98 --",2021-02-11T04:49:41.633Z,161301898163503
"""Noah @ jLblaRls_D"" shows a 8♥, 2♣.",2021-02-11T04:49:41.633Z,161301898163502
"""Ryan @ XwqhCQl1w5"" collected 1.70 from pot with Two Pair, 8's & 6's (combination: 8♣, 8♠, 6♠, 6♣, Q♣)",2021-02-11T04:49:41.633Z,161301898163501
"""Ryan @ XwqhCQl1w5"" shows a 6♠, 8♣.",2021-02-11T04:49:41.633Z,161301898163500
"""Ryan @ XwqhCQl1w5"" calls 0.48",2021-02-11T04:49:40.820Z,161301898082100
"""Noah @ jLblaRls_D"" bets 0.48",2021-02-11T04:49:29.240Z,161301896924100
"River: J♣, 2♥, 6♣, 8♠ [Q♣]",2021-02-11T04:49:22.708Z,161301896271400
"""Noah @ jLblaRls_D"" calls 0.22",2021-02-11T04:49:21.894Z,161301896189500
"""Adam @ Mm2_pAS2UA"" folds",2021-02-11T04:49:20.053Z,161301896005400
"""Ryan @ XwqhCQl1w5"" bets 0.22",2021-02-11T04:49:09.150Z,161301894915200
"""Noah @ jLblaRls_D"" checks",2021-02-11T04:49:02.263Z,161301894226400
"""Adam @ Mm2_pAS2UA"" checks",2021-02-11T04:49:00.509Z,161301894051000
"Turn: J♣, 2♥, 6♣ [8♠]",2021-02-11T04:48:54.621Z,161301893462500
"""Ryan @ XwqhCQl1w5"" checks",2021-02-11T04:48:53.801Z,161301893380200
"""Noah @ jLblaRls_D"" checks",2021-02-11T04:48:52.951Z,161301893295300
"""Adam @ Mm2_pAS2UA"" checks",2021-02-11T04:48:51.254Z,161301893125500
"Flop:  [J♣, 2♥, 6♣]",2021-02-11T04:48:44.123Z,161301892412600
"""Noah @ jLblaRls_D"" checks",2021-02-11T04:48:43.307Z,161301892330800
"""Adam @ Mm2_pAS2UA"" calls 0.10",2021-02-11T04:48:41.510Z,161301892151200
"""Ryan @ XwqhCQl1w5"" calls 0.10",2021-02-11T04:48:39.965Z,161301891996600
"""Blake @ UmDnqTo27H"" folds",2021-02-11T04:48:37.759Z,161301891776000
"""Steve @ YzCZkAUETt"" folds",2021-02-11T04:48:36.913Z,161301891691500
"""Victor @ umRS93e_BU"" folds",2021-02-11T04:48:36.060Z,161301891606100
"""Noah @ jLblaRls_D"" posts a big blind of 0.10",2021-02-11T04:48:33.321Z,161301891332209
"""Adam @ Mm2_pAS2UA"" posts a small blind of 0.05",2021-02-11T04:48:33.321Z,161301891332208
"Your hand is 2♠, 8♦",2021-02-11T04:48:33.321Z,161301891332207
