entry,at,order
"-- ending hand #86 --",2021-03-24T02:43:25.446Z,161655380544802
"""Fake News @ 1IunLsscdK"" collected 1.00 from pot with Two Pair, 10's & 5's on the second run  (combination: 10♠, 10♥, 5♥, 5♣, K♦)",2021-03-24T02:43:25.446Z,161655380544801
"""Fake News @ 1IunLsscdK"" collected 1.00 from pot with Two Pair, 10's & 6's (combination: 10♠, 10♦, 6♦, 6♣, 4♦)",2021-03-24T02:43:25.446Z,161655380544800
"River (second run): 5♥, 10♥, 5♣, K♦ [8♦]",2021-03-24T02:43:21.420Z,161655380142500
"Turn (second run): 5♥, 10♥, 5♣ [K♦]",2021-03-24T02:43:17.381Z,161655379738900
"Flop (second run):  [5♥, 10♥, 5♣]",2021-03-24T02:43:13.339Z,161655379337000
"River: 2♥, 10♦, 4♦, 2♠ [6♣]",2021-03-24T02:43:09.296Z,161655378929800
"Turn: 2♥, 10♦, 4♦ [2♠]",2021-03-24T02:43:05.274Z,161655378527600
"Flop:  [2♥, 10♦, 4♦]",2021-03-24T02:43:01.269Z,161655378128900
"""Blake @ UmDnqTo27H"" shows a Q♦, J♣.",2021-03-24T02:42:57.250Z,161655377726701
"""Fake News @ 1IunLsscdK"" shows a 6♦, 10♠.",2021-03-24T02:42:57.250Z,161655377726700
"All players in hand choose to run it twice.",2021-03-24T02:42:56.439Z,161655377644001
"""Fake News @ 1IunLsscdK"" chooses to  run it twice.",2021-03-24T02:42:56.439Z,161655377644000
"""Blake @ UmDnqTo27H"" chooses to  run it twice.",2021-03-24T02:42:55.304Z,161655377530500
"Remaining players decide whether to run it twice.",2021-03-24T02:42:55.276Z,161655377527701
"""Fake News @ 1IunLsscdK"" calls 1.00",2021-03-24T02:42:55.276Z,161655377527700
"""Blake @ UmDnqTo27H"" raises to 1.00 and go all in",2021-03-24T02:42:54.029Z,161655377403100
"""Fake News @ 1IunLsscdK"" posts a big blind of 0.10",2021-03-24T02:42:49.156Z,161655376916106
"""Blake @ UmDnqTo27H"" posts a small blind of 0.05",2021-03-24T02:42:49.156Z,161655376916105
"Your hand is Q♦, J♣",2021-03-24T02:42:49.156Z,161655376916104
"Player stacks: #5 ""Fake News @ 1IunLsscdK"" (10.99) | #8 ""Blake @ UmDnqTo27H"" (1.00)",2021-03-24T02:42:49.156Z,161655376916102
"-- starting hand #86  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-03-24T02:42:49.156Z,161655376916101
"The admin updated the player ""Blake @ UmDnqTo27H"" stack from 2.00 to 1.00.",2021-03-24T02:42:49.156Z,161655376916100
"WARNING: the admin queued the stack change for the player ""Blake @ UmDnqTo27H"" reseting to 1.00 chips in the next hand.",2021-03-24T02:42:43.430Z,161655376343100
"-- ending hand #85 --",2021-03-24T02:42:30.624Z,161655375062602
