entry,at,order
"""Steak Boy @ 8931s3Tqpq"" shows a 5♠, 4♦.",2021-02-24T03:54:47.399Z,161413888740000
"""いちごミルク @ dG2Or99XXe"" shows a 9♣, 7♥.",2021-02-24T03:54:47.387Z,161413888738800
"""Blake @ UmDnqTo27H"" shows a 8♠, Q♣.",2021-02-24T03:54:45.322Z,161413888532200
"-- ending hand #116 --",2021-02-24T03:54:43.212Z,161413888321504
"""kerg @ 6pWE6q8vE8"" collected 0.86 from pot with Pair, A's (combination: A♣, A♠, K♣, J♣, 7♠)",2021-02-24T03:54:43.212Z,161413888321503
"""Gin @ JSqg0fXk2Y"" shows a 7♦, Q♦.",2021-02-24T03:54:43.212Z,161413888321502
"""kerg @ 6pWE6q8vE8"" collected 0.05 from pot with Pair, A's (combination: A♣, A♠, K♣, J♣, 7♠)",2021-02-24T03:54:43.212Z,161413888321401
"""kerg @ 6pWE6q8vE8"" shows a 2♠, A♣.",2021-02-24T03:54:43.212Z,161413888321400
"""kerg @ 6pWE6q8vE8"" calls 0.10",2021-02-24T03:54:42.405Z,161413888240600
"""Blake @ UmDnqTo27H"" folds",2021-02-24T03:54:15.917Z,161413885591800
"""Gin @ JSqg0fXk2Y"" bets 0.10",2021-02-24T03:54:14.193Z,161413885419400
"""kerg @ 6pWE6q8vE8"" checks",2021-02-24T03:54:12.243Z,161413885224400
"""Blake @ UmDnqTo27H"" checks",2021-02-24T03:54:10.851Z,161413885085200
"River: A♠, J♣, K♣, 4♠ [7♠]",2021-02-24T03:54:09.033Z,161413884903600
"""Gin @ JSqg0fXk2Y"" checks",2021-02-24T03:54:08.225Z,161413884822600
"""kerg @ 6pWE6q8vE8"" checks",2021-02-24T03:54:04.707Z,161413884470800
"""Blake @ UmDnqTo27H"" checks",2021-02-24T03:54:00.867Z,161413884086800
"Turn: A♠, J♣, K♣ [4♠]",2021-02-24T03:53:59.796Z,161413883979800
"""kerg @ 6pWE6q8vE8"" calls 0.10",2021-02-24T03:53:58.989Z,161413883899000
"""Blake @ UmDnqTo27H"" calls 0.10",2021-02-24T03:53:58.136Z,161413883813700
"""いちごミルク @ dG2Or99XXe"" folds",2021-02-24T03:53:57.298Z,161413883729900
"""Gin @ JSqg0fXk2Y"" bets 0.10",2021-02-24T03:53:55.007Z,161413883500800
"""kerg @ 6pWE6q8vE8"" checks",2021-02-24T03:53:48.488Z,161413882848900
"""Blake @ UmDnqTo27H"" checks",2021-02-24T03:53:40.497Z,161413882049800
"Flop:  [A♠, J♣, K♣]",2021-02-24T03:53:38.673Z,161413881867400
"""kerg @ 6pWE6q8vE8"" checks",2021-02-24T03:53:37.867Z,161413881786700
"""Blake @ UmDnqTo27H"" calls 0.10",2021-02-24T03:53:36.297Z,161413881629800
"""いちごミルク @ dG2Or99XXe"" calls 0.10",2021-02-24T03:53:35.450Z,161413881545100
"""Gin @ JSqg0fXk2Y"" calls 0.10",2021-02-24T03:53:33.703Z,161413881370300
"""Steak Boy @ 8931s3Tqpq"" posts a missed big blind of 0.01 and go all in ",2021-02-24T03:53:29.155Z,161413880916310
"""kerg @ 6pWE6q8vE8"" posts a big blind of 0.10",2021-02-24T03:53:29.155Z,161413880916309
"""Blake @ UmDnqTo27H"" posts a small blind of 0.05",2021-02-24T03:53:29.155Z,161413880916308
"Your hand is 8♠, Q♣",2021-02-24T03:53:29.155Z,161413880916306
"Player stacks: #3 ""Gin @ JSqg0fXk2Y"" (4.28) | #6 ""Steak Boy @ 8931s3Tqpq"" (0.01) | #7 ""いちごミルク @ dG2Or99XXe"" (17.43) | #8 ""Blake @ UmDnqTo27H"" (25.08) | #9 ""kerg @ 6pWE6q8vE8"" (2.29)",2021-02-24T03:53:29.155Z,161413880916202
"-- starting hand #116  (No Limit Texas Hold'em) (dealer: ""いちごミルク @ dG2Or99XXe"") --",2021-02-24T03:53:29.155Z,161413880916201
