entry,at,order
"""Blake @ UmDnqTo27H"" shows a 7♥, J♣.",2021-03-05T05:18:51.943Z,161492153194400
"""Desperate @ 8931s3Tqpq"" shows a J♥, J♦.",2021-03-05T05:16:50.838Z,161492141083900
"""2% Mike @ GrN4o0REa-"" shows a A♦, 3♦.",2021-03-05T05:16:49.002Z,161492140900300
"-- ending hand #236 --",2021-03-05T05:16:48.038Z,161492140803902
"""Desperate @ 8931s3Tqpq"" collected 0.50 from pot",2021-03-05T05:16:48.038Z,161492140803901
"Uncalled bet of 0.30 returned to ""Desperate @ 8931s3Tqpq""",2021-03-05T05:16:48.038Z,161492140803900
"""2% Mike @ GrN4o0REa-"" folds",2021-03-05T05:16:47.233Z,161492140723300
"""Desperate @ 8931s3Tqpq"" bets 0.30",2021-03-05T05:16:45.822Z,161492140582300
"River: 8♥, K♦, 4♦, 7♣ [J♠]",2021-03-05T05:16:36.271Z,161492139627300
"""Desperate @ 8931s3Tqpq"" calls 0.15",2021-03-05T05:16:35.462Z,161492139546300
"""2% Mike @ GrN4o0REa-"" bets 0.15",2021-03-05T05:16:33.103Z,161492139310400
"""Desperate @ 8931s3Tqpq"" checks",2021-03-05T05:16:30.396Z,161492139039700
"Turn: 8♥, K♦, 4♦ [7♣]",2021-03-05T05:16:28.518Z,161492138852000
"""2% Mike @ GrN4o0REa-"" checks",2021-03-05T05:16:27.708Z,161492138770900
"""Desperate @ 8931s3Tqpq"" checks",2021-03-05T05:16:21.290Z,161492138129000
"Flop:  [8♥, K♦, 4♦]",2021-03-05T05:16:18.711Z,161492137871200
"""2% Mike @ GrN4o0REa-"" checks",2021-03-05T05:16:17.867Z,161492137786800
"""Desperate @ 8931s3Tqpq"" calls 0.10",2021-03-05T05:16:07.475Z,161492136747600
"""Blake @ UmDnqTo27H"" folds",2021-03-05T05:16:06.166Z,161492136616700
"""2% Mike @ GrN4o0REa-"" posts a big blind of 0.10",2021-03-05T05:16:03.692Z,161492136369306
"""Desperate @ 8931s3Tqpq"" posts a small blind of 0.05",2021-03-05T05:16:03.692Z,161492136369305
"Your hand is 7♥, J♣",2021-03-05T05:16:03.692Z,161492136369304
"Player stacks: #1 ""Desperate @ 8931s3Tqpq"" (1.36) | #6 ""2% Mike @ GrN4o0REa-"" (24.55) | #8 ""Blake @ UmDnqTo27H"" (5.05)",2021-03-05T05:16:03.692Z,161492136369301
"-- starting hand #236  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-03-05T05:16:03.692Z,161492136369300
"""Blake @ UmDnqTo27H"" shows a K♦, 10♣.",2021-03-05T05:15:59.399Z,161492135940000
"""Desperate @ 8931s3Tqpq"" shows a 3♦, 6♣.",2021-03-05T05:15:58.979Z,161492135898000
"""2% Mike @ GrN4o0REa-"" shows a 5♥, 6♠.",2021-03-05T05:15:58.231Z,161492135823200
"Undealt cards: 3♥, 5♠, 4♦ [9♠, 8♣]",2021-03-05T05:15:57.188Z,161492135719000
"-- ending hand #235 --",2021-03-05T05:15:56.629Z,161492135663002
