entry,at,order
"""Adam @ Mm2_pAS2UA"" posts a big blind of 0.10",2021-03-15T02:01:39.846Z,161577369984707
"""Victor @ umRS93e_BU"" posts a small blind of 0.05",2021-03-15T02:01:39.846Z,161577369984706
"Player stacks: #2 ""Noah @ jLblaRls_D"" (4.41) | #7 ""Ryan @ XwqhCQl1w5"" (20.20) | #9 ""Victor @ umRS93e_BU"" (0.81) | #10 ""Adam @ Mm2_pAS2UA"" (12.80)",2021-03-15T02:01:39.846Z,161577369984701
"-- starting hand #113  (No Limit Texas Hold'em) (dead button) --",2021-03-15T02:01:39.846Z,161577369984700
"""Victor @ umRS93e_BU"" shows a K♣, 7♠.",2021-03-15T02:01:35.889Z,161577369589000
"""Adam @ Mm2_pAS2UA"" shows a A♣, 9♠.",2021-03-15T02:01:35.083Z,161577369508400
"-- ending hand #112 --",2021-03-15T02:01:32.807Z,161577369280902
"""Noah @ jLblaRls_D"" collected 4.41 from pot with Pair, J's (combination: J♥, J♣, 10♣, 7♣, 6♠)",2021-03-15T02:01:32.807Z,161577369280901
"""Noah @ jLblaRls_D"" shows a J♥, J♣.",2021-03-15T02:01:32.807Z,161577369280900
"""Ryan @ XwqhCQl1w5"" checks",2021-03-15T02:01:31.988Z,161577369198900
"""Victor @ umRS93e_BU"" checks",2021-03-15T02:01:27.618Z,161577368761900
"River: 3♥, 6♠, 10♣, 7♣ [2♠]",2021-03-15T02:01:25.633Z,161577368563800
"""Ryan @ XwqhCQl1w5"" checks",2021-03-15T02:01:24.825Z,161577368482600
"""Victor @ umRS93e_BU"" checks",2021-03-15T02:01:22.908Z,161577368290900
"Turn: 3♥, 6♠, 10♣ [7♣]",2021-03-15T02:01:19.558Z,161577367956000
"""Adam @ Mm2_pAS2UA"" folds",2021-03-15T02:01:18.748Z,161577367874900
"""Victor @ umRS93e_BU"" calls 1.07",2021-03-15T02:01:17.906Z,161577367790700
"""Ryan @ XwqhCQl1w5"" calls 1.07",2021-03-15T02:01:01.754Z,161577366175500
"""Noah @ jLblaRls_D"" bets 1.07 and go all in",2021-03-15T02:00:58.774Z,161577365877400
"""Adam @ Mm2_pAS2UA"" checks",2021-03-15T02:00:53.093Z,161577365309400
"""Victor @ umRS93e_BU"" checks",2021-03-15T02:00:50.584Z,161577365058500
"Flop:  [3♥, 6♠, 10♣]",2021-03-15T02:00:44.675Z,161577364467700
"""Victor @ umRS93e_BU"" calls 0.30",2021-03-15T02:00:43.869Z,161577364386900
"""Ryan @ XwqhCQl1w5"" calls 0.30",2021-03-15T02:00:41.959Z,161577364196000
"""Noah @ jLblaRls_D"" calls 0.30",2021-03-15T02:00:37.869Z,161577363787000
"""Adam @ Mm2_pAS2UA"" raises to 0.30",2021-03-15T02:00:36.242Z,161577363624300
"""Victor @ umRS93e_BU"" posts a big blind of 0.10",2021-03-15T02:00:30.521Z,161577363057109
"Dead Small Blind",2021-03-15T02:00:30.521Z,161577363057108
"Player stacks: #2 ""Noah @ jLblaRls_D"" (1.37) | #7 ""Ryan @ XwqhCQl1w5"" (21.57) | #9 ""Victor @ umRS93e_BU"" (2.18) | #10 ""Adam @ Mm2_pAS2UA"" (13.10)",2021-03-15T02:00:30.521Z,161577363057103
"-- starting hand #112  (No Limit Texas Hold'em) (dealer: ""Ryan @ XwqhCQl1w5"") --",2021-03-15T02:00:30.521Z,161577363057102
"The player ""Blake @ UmDnqTo27H"" quits the game with a stack of 0.00.",2021-03-15T02:00:30.521Z,161577363057101
"The player ""Joe @ QPwC0lzggS"" quits the game with a stack of 0.00.",2021-03-15T02:00:30.521Z,161577363057100
"""Adam @ Mm2_pAS2UA"" shows a A♥, Q♥.",2021-03-15T02:00:26.116Z,161577362611700
"""Victor @ umRS93e_BU"" shows a 5♠, 10♣.",2021-03-15T02:00:25.792Z,161577362579600
"-- ending hand #111 --",2021-03-15T02:00:23.484Z,161577362348502
"""Ryan @ XwqhCQl1w5"" collected 3.08 from pot with Pair, A's (combination: A♣, A♠, K♥, J♣, 8♦)",2021-03-15T02:00:23.484Z,161577362348501
"""Ryan @ XwqhCQl1w5"" collected 9.71 from pot with Pair, A's (combination: A♣, A♠, K♥, J♣, 8♦)",2021-03-15T02:00:23.484Z,161577362348500
"River: 2♠, 8♦, J♣, K♥ [6♣]",2021-03-15T02:00:20.473Z,161577362047700
"Turn: 2♠, 8♦, J♣ [K♥]",2021-03-15T02:00:17.446Z,161577361744900
"Flop:  [2♠, 8♦, J♣]",2021-03-15T02:00:14.439Z,161577361444000
"""Blake @ UmDnqTo27H"" shows a 9♣, 9♦.",2021-03-15T02:00:11.421Z,161577361142202
"""Ryan @ XwqhCQl1w5"" shows a A♣, A♠.",2021-03-15T02:00:11.421Z,161577361142201
"""Joe @ QPwC0lzggS"" shows a 5♦, 8♣.",2021-03-15T02:00:11.421Z,161577361142200
"Some players choose to not run it twice.",2021-03-15T02:00:10.616Z,161577361061701
"""Ryan @ XwqhCQl1w5"" chooses to not run it twice.",2021-03-15T02:00:10.616Z,161577361061700
"Remaining players decide whether to run it twice.",2021-03-15T02:00:10.568Z,161577361056901
"""Ryan @ XwqhCQl1w5"" calls 4.71",2021-03-15T02:00:10.568Z,161577361056900
"""Noah @ jLblaRls_D"" folds",2021-03-15T02:00:08.332Z,161577360833300
"""Joe @ QPwC0lzggS"" calls 3.17 and go all in",2021-03-15T02:00:04.932Z,161577360493300
"""Adam @ Mm2_pAS2UA"" folds",2021-03-15T02:00:01.530Z,161577360153100
"""Blake @ UmDnqTo27H"" raises to 4.71 and go all in",2021-03-15T01:59:55.659Z,161577359566000
"""Ryan @ XwqhCQl1w5"" raises to 0.20",2021-03-15T01:59:53.334Z,161577359333500
"""Noah @ jLblaRls_D"" calls 0.10",2021-03-15T01:59:49.430Z,161577358943100
"""Joe @ QPwC0lzggS"" calls 0.10",2021-03-15T01:59:48.562Z,161577358856300
"""Adam @ Mm2_pAS2UA"" calls 0.10",2021-03-15T01:59:46.838Z,161577358683900
"""Victor @ umRS93e_BU"" folds",2021-03-15T01:59:44.771Z,161577358477200
"""Blake @ UmDnqTo27H"" posts a big blind of 0.10",2021-03-15T01:59:32.385Z,161577357238509
"""Ryan @ XwqhCQl1w5"" posts a small blind of 0.05",2021-03-15T01:59:32.385Z,161577357238508
"Your hand is 9♣, 9♦",2021-03-15T01:59:32.385Z,161577357238505
"Player stacks: #1 ""Joe @ QPwC0lzggS"" (3.17) | #2 ""Noah @ jLblaRls_D"" (1.47) | #7 ""Ryan @ XwqhCQl1w5"" (13.49) | #8 ""Blake @ UmDnqTo27H"" (4.71) | #9 ""Victor @ umRS93e_BU"" (2.18) | #10 ""Adam @ Mm2_pAS2UA"" (13.20)",2021-03-15T01:59:32.385Z,161577357238501
"-- starting hand #111  (No Limit Texas Hold'em) (dealer: ""Noah @ jLblaRls_D"") --",2021-03-15T01:59:32.385Z,161577357238500
"""Adam @ Mm2_pAS2UA"" shows a 10♥, 7♣.",2021-03-15T01:59:28.448Z,161577356845300
"""Joe @ QPwC0lzggS"" shows a 9♣, 9♥.",2021-03-15T01:59:26.714Z,161577356671500
"-- ending hand #110 --",2021-03-15T01:59:25.351Z,161577356535202
"""Ryan @ XwqhCQl1w5"" collected 7.20 from pot with Two Pair, A's & 8's (combination: A♦, A♠, 8♥, 8♦, J♦)",2021-03-15T01:59:25.351Z,161577356535201
"""Ryan @ XwqhCQl1w5"" shows a A♦, J♦.",2021-03-15T01:59:25.351Z,161577356535200
"""Joe @ QPwC0lzggS"" checks",2021-03-15T01:59:24.545Z,161577356454600
"""Ryan @ XwqhCQl1w5"" checks",2021-03-15T01:59:21.245Z,161577356124500
"River: A♠, 8♥, 3♠, 8♦ [2♣]",2021-03-15T01:59:17.303Z,161577355730700
"""Ryan @ XwqhCQl1w5"" calls 1.80",2021-03-15T01:59:16.494Z,161577355649600
"""Joe @ QPwC0lzggS"" bets 1.80",2021-03-15T01:59:07.953Z,161577354795300
"""Ryan @ XwqhCQl1w5"" checks",2021-03-15T01:59:01.378Z,161577354138300
"Turn: A♠, 8♥, 3♠ [8♦]",2021-03-15T01:58:56.202Z,161577353620400
"""Ryan @ XwqhCQl1w5"" calls 0.90",2021-03-15T01:58:55.389Z,161577353539000
"""Joe @ QPwC0lzggS"" bets 0.90",2021-03-15T01:58:49.266Z,161577352926700
"""Ryan @ XwqhCQl1w5"" checks",2021-03-15T01:58:44.789Z,161577352479000
"Flop:  [A♠, 8♥, 3♠]",2021-03-15T01:58:38.761Z,161577351876200
"""Adam @ Mm2_pAS2UA"" folds",2021-03-15T01:58:37.938Z,161577351794000
"""Victor @ umRS93e_BU"" folds",2021-03-15T01:58:32.080Z,161577351208100
"""Ryan @ XwqhCQl1w5"" calls 0.65",2021-03-15T01:58:27.694Z,161577350769500
"""Noah @ jLblaRls_D"" folds",2021-03-15T01:58:24.212Z,161577350421200
"""Joe @ QPwC0lzggS"" raises to 0.65",2021-03-15T01:58:21.972Z,161577350197300
"""Adam @ Mm2_pAS2UA"" calls 0.20",2021-03-15T01:58:18.695Z,161577349869600
"""Victor @ umRS93e_BU"" calls 0.20",2021-03-15T01:58:16.574Z,161577349657500
"""Ryan @ XwqhCQl1w5"" raises to 0.20",2021-03-15T01:58:12.758Z,161577349275900
"""Noah @ jLblaRls_D"" calls 0.10",2021-03-15T01:58:08.373Z,161577348837400
"""Joe @ QPwC0lzggS"" calls 0.10",2021-03-15T01:58:07.421Z,161577348742200
"""Adam @ Mm2_pAS2UA"" calls 0.10",2021-03-15T01:58:06.529Z,161577348653000
"""Victor @ umRS93e_BU"" calls 0.10",2021-03-15T01:58:01.174Z,161577348117500
"""Blake @ UmDnqTo27H"" folds",2021-03-15T01:57:54.412Z,161577347441200
"""Ryan @ XwqhCQl1w5"" posts a big blind of 0.10",2021-03-15T01:57:52.345Z,161577347234609
"""Noah @ jLblaRls_D"" posts a small blind of 0.05",2021-03-15T01:57:52.345Z,161577347234608
