entry,at,order
"""Blake @ UmDnqTo27H"" folds",2021-02-16T02:50:29.396Z,161344382939701
"The player ""Joe @ QPwC0lzggS"" passed the room ownership to ""Ryan @ XwqhCQl1w5"".",2021-02-16T02:50:29.396Z,161344382939700
"""Ryan @ XwqhCQl1w5"" posts a big blind of 0.10",2021-02-16T02:42:59.763Z,161344337976409
"""Adam @ Mm2_pAS2UA"" posts a small blind of 0.05",2021-02-16T02:42:59.763Z,161344337976408
"Your hand is K♦, 8♣",2021-02-16T02:42:59.763Z,161344337976403
"Player stacks: #2 ""Ryan @ XwqhCQl1w5"" (24.33) | #3 ""Blake @ UmDnqTo27H"" (7.13) | #7 ""Steve @ YzCZkAUETt"" (5.75) | #8 ""Noah @ jLblaRls_D"" (3.06) | #9 ""Victor @ umRS93e_BU"" (26.46) | #10 ""Adam @ Mm2_pAS2UA"" (3.45)",2021-02-16T02:42:59.763Z,161344337976401
"-- starting hand #112  (No Limit Texas Hold'em) (dealer: ""Victor @ umRS93e_BU"") --",2021-02-16T02:42:59.763Z,161344337976400
"""Noah @ jLblaRls_D"" shows a Q♣, 3♥.",2021-02-16T02:42:56.588Z,161344337658800
"""Victor @ umRS93e_BU"" shows a 9♦, K♣.",2021-02-16T02:42:55.107Z,161344337510700
"""Steve @ YzCZkAUETt"" shows a 8♦, 10♦.",2021-02-16T02:42:45.313Z,161344336531400
"-- ending hand #111 --",2021-02-16T02:42:44.439Z,161344336444003
"""Adam @ Mm2_pAS2UA"" shows a Q♦, Q♠.",2021-02-16T02:42:44.439Z,161344336444002
"""Ryan @ XwqhCQl1w5"" collected 4.90 from pot with Two Pair, A's & 5's (combination: A♠, A♦, 5♣, 5♠, K♦)",2021-02-16T02:42:44.439Z,161344336444001
"""Ryan @ XwqhCQl1w5"" shows a 3♦, A♠.",2021-02-16T02:42:44.439Z,161344336444000
"""Ryan @ XwqhCQl1w5"" calls 0.40",2021-02-16T02:42:43.628Z,161344336362900
"""Adam @ Mm2_pAS2UA"" bets 0.40",2021-02-16T02:42:42.409Z,161344336241500
"River: K♦, 7♦, A♦, 5♣ [5♠]",2021-02-16T02:42:35.941Z,161344335594400
"""Ryan @ XwqhCQl1w5"" calls 0.40",2021-02-16T02:42:35.104Z,161344335510500
"""Adam @ Mm2_pAS2UA"" bets 0.40",2021-02-16T02:42:33.915Z,161344335391600
"Turn: K♦, 7♦, A♦ [5♣]",2021-02-16T02:42:25.132Z,161344334513400
"""Noah @ jLblaRls_D"" folds",2021-02-16T02:42:24.326Z,161344334432700
"""Ryan @ XwqhCQl1w5"" calls 0.80",2021-02-16T02:42:22.653Z,161344334265400
"""Adam @ Mm2_pAS2UA"" bets 0.80",2021-02-16T02:42:21.053Z,161344334105300
